ï»¿serial-number,part-number,name,temperature,rx-power,tx-power,current,voltage,power-on-time,ip-address,Label
JAF3155200001KE,57-1000333-01,fc/0/3,44,556.1,527.7,6.58,3315.5,63600,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,44,559.4,526.7,6.58,3293,63601,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,43,551.2,527.1,6.59,3302.4,63602,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,44,553.4,526.1,6.58,3310.1,63602,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,44,559.2,527.2,6.58,3324.8,63603,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,44,554.3,528.8,6.57,3310.3,63604,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,43,556.4,529,6.58,3300.4,63606,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,43,545.4,529.1,6.57,3307,63607,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,43,552.4,529.8,6.58,3306.4,63608,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,43,548.1,530.8,6.59,3312.1,63609,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,43,551,527.4,6.58,3293.9,63610,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,43,546.7,531.3,6.58,3310.8,63611,10.22.15.119,Normal
JAF3155200001KE,57-1000333-01,fc/0/3,43,550.1,529.3,6.58,3310.9,63612,10.22.15.119,Normal
JAF41836000023F,P9H32A,fc/0/7,48,642,449.7,7.76,3330.9,35570,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,633.6,449.6,7.76,3355.8,35574,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,628,449.1,7.76,3345.1,35579,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,641.8,448.5,7.76,3351.4,35580,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,617.3,449.2,7.77,3334.3,35582,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,623.4,450,7.76,3350.2,35594,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,628.8,449.9,7.76,3348.5,35595,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,618,449.8,7.76,3334.1,35596,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,48,628.1,449.4,7.76,3343.5,35598,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,626.9,448.7,7.77,3343.5,35599,172.17.101.190,PreWarning
JAF41836000023F,P9H32A,fc/0/7,49,635.6,449.5,7.76,3354.1,35602,172.17.101.190,PreWarning
